,Title,Published_date,Views,Likes,Comments,Month
227,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,517,24,29,Aug
228,Is Data Science Right For You?,2019-08-18,49332,1151,109,Aug
229,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,14048,380,55,Aug
230,How To Get Data Science Experience (Without a Job),2019-08-08,28652,1362,75,Aug
231,Take Your Data Science Projects From Good to Great,2019-08-05,1569,107,11,Aug
232,The Projects You Should Do To Get A Data Science Job,2019-07-30,146463,5625,252,Jul
233,What Does a Data Scientist Actually Do?,2019-07-19,34546,1161,80,Jul
234,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,12457,341,42,Jul
235,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,17048,512,61,Jul
236,Data Science: Pros and Cons,2019-06-30,5048,213,18,Jun
237,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,23594,1153,89,Jun
238,My Top 5 Data Science Internship Tips,2019-06-15,11343,473,22,Jun
239,Golf STATS: Strokes Gained Explained,2019-06-07,6678,139,28,Jun
240,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,603,44,5,May
241,What I Learned From My Three Degrees,2019-05-17,1223,60,12,May
242,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25473,1063,68,May
243,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1210,40,2,May
244,Should You Learn R for Data Science?,2019-04-25,19743,541,69,Apr
245,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,45939,848,336,Apr
246,Work From Home Data Scientist: Day in the Life,2019-04-12,27934,759,103,Apr
247,Where to Look for Data Science Jobs,2019-03-29,2972,120,9,Mar
248,Data Science: Startup vs. Large Corporation,2019-03-21,2061,73,4,Mar
249,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,5933,167,26,Mar
250,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4090,177,15,Mar
251,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,778,32,12,Mar
252,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1388,35,8,Mar
253,Where YOU Should Start With Data Science Projects,2019-02-19,15270,318,17,Feb
254,Watch This Before Applying to Data Science Jobs,2019-02-04,1466,65,13,Feb
255,My Top 5 Data Science Resources for 2019,2019-01-05,3648,119,17,Jan
256,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,819,37,6,Dec
257,The Best Way to Predict NBA Minutes Played,2018-12-11,4018,106,14,Dec
258,Demystifying Data Science Roles,2018-11-30,1115,52,5,Nov
259,How to Simulate NBA Games in Python,2018-11-19,16932,382,54,Nov
260,Should You Get A Masters in Data Science?,2018-11-14,20347,304,141,Nov
261,How I Became A Data Scientist From a Business Background,2018-11-12,6292,192,23,Nov
262,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8345,190,17,Jul
263,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18509,288,41,Nov
